time,open,high,low,close,tick_volume,spread,symbol,timeframe
2024-08-28 07:15:00+00:00,75.077,75.158,75.001,75.006,422,17.0,USOIL,15m
2024-08-28 07:30:00+00:00,75.01,75.098,74.871,74.98,535,17.0,USOIL,15m
2024-08-28 07:45:00+00:00,74.978,74.983,74.877,74.934,532,17.0,USOIL,15m
2024-08-28 08:00:00+00:00,74.926,74.975,74.644,74.69,809,17.0,USOIL,15m
2024-08-28 08:15:00+00:00,74.697,74.743,74.118,74.118,1108,17.0,USOIL,15m
2024-08-28 08:30:00+00:00,74.124,74.602,74.083,74.51,1397,17.0,USOIL,15m
2024-08-28 08:45:00+00:00,74.508,74.588,74.368,74.567,962,17.0,USOIL,15m
2024-08-28 09:00:00+00:00,74.561,74.662,74.342,74.345,758,17.0,USOIL,15m
2024-08-28 09:15:00+00:00,74.346,74.379,74.191,74.294,574,17.0,USOIL,15m
2024-08-28 09:30:00+00:00,74.297,74.496,74.286,74.394,633,17.0,USOIL,15m
2024-08-28 09:45:00+00:00,74.392,74.42,74.259,74.289,599,17.0,USOIL,15m
2024-08-28 10:00:00+00:00,74.284,74.329,74.159,74.212,658,17.0,USOIL,15m
2024-08-28 10:15:00+00:00,74.209,74.235,73.858,73.913,623,17.0,USOIL,15m
2024-08-28 10:30:00+00:00,73.907,74.037,73.678,73.731,828,17.0,USOIL,15m
2024-08-28 10:45:00+00:00,73.726,73.816,73.702,73.737,672,17.0,USOIL,15m
2024-08-28 11:00:00+00:00,73.736,73.743,73.447,73.661,863,17.0,USOIL,15m
2024-08-28 11:15:00+00:00,73.663,73.848,73.651,73.832,664,17.0,USOIL,15m
2024-08-28 11:30:00+00:00,73.831,73.864,73.78,73.821,502,17.0,USOIL,15m
2024-08-28 11:45:00+00:00,73.807,74.053,73.747,74.0,613,17.0,USOIL,15m
2024-08-28 12:00:00+00:00,73.994,74.119,73.887,73.92,796,17.0,USOIL,15m
2024-08-28 12:15:00+00:00,73.925,74.065,73.868,74.02,792,17.0,USOIL,15m
2024-08-28 12:30:00+00:00,74.019,74.159,73.965,74.095,832,17.0,USOIL,15m
2024-08-28 12:45:00+00:00,74.092,74.583,74.057,74.471,1102,17.0,USOIL,15m
2024-08-28 13:00:00+00:00,74.474,74.659,74.292,74.423,1691,17.0,USOIL,15m
2024-08-28 13:15:00+00:00,74.427,74.522,74.138,74.277,1250,17.0,USOIL,15m
2024-08-28 13:30:00+00:00,74.275,74.405,74.003,74.356,1499,17.0,USOIL,15m
2024-08-28 13:45:00+00:00,74.361,74.401,74.144,74.215,1401,17.0,USOIL,15m
2024-08-28 14:00:00+00:00,74.22,74.45,74.041,74.103,1403,17.0,USOIL,15m
2024-08-28 14:15:00+00:00,74.099,74.104,73.851,73.91,1298,17.0,USOIL,15m
2024-08-28 14:30:00+00:00,73.913,74.425,73.666,74.217,2317,17.0,USOIL,15m
2024-08-28 14:45:00+00:00,74.21,74.752,74.18,74.705,1859,17.0,USOIL,15m
2024-08-28 15:00:00+00:00,74.698,75.047,74.568,74.826,1753,17.0,USOIL,15m
2024-08-28 15:15:00+00:00,74.815,74.826,74.275,74.448,2044,17.0,USOIL,15m
2024-08-28 15:30:00+00:00,74.442,74.678,74.216,74.626,1782,17.0,USOIL,15m
2024-08-28 15:45:00+00:00,74.621,74.633,74.328,74.361,1314,17.0,USOIL,15m
2024-08-28 16:00:00+00:00,74.356,74.426,74.22,74.359,1081,17.0,USOIL,15m
2024-08-28 16:15:00+00:00,74.363,74.43,74.273,74.333,857,17.0,USOIL,15m
2024-08-28 16:30:00+00:00,74.33,74.502,74.28,74.468,788,17.0,USOIL,15m
2024-08-28 16:45:00+00:00,74.469,74.73,74.462,74.657,904,17.0,USOIL,15m
2024-08-28 17:00:00+00:00,74.662,74.737,74.565,74.601,803,17.0,USOIL,15m
2024-08-28 17:15:00+00:00,74.603,74.673,74.483,74.556,667,17.0,USOIL,15m
2024-08-28 17:30:00+00:00,74.553,74.61,74.451,74.463,520,17.0,USOIL,15m
2024-08-28 17:45:00+00:00,74.464,74.464,74.13,74.274,822,17.0,USOIL,15m
2024-08-28 18:00:00+00:00,74.272,74.369,74.181,74.351,744,17.0,USOIL,15m
2024-08-28 18:15:00+00:00,74.355,74.388,73.971,74.099,1169,17.0,USOIL,15m
2024-08-28 18:30:00+00:00,74.093,74.174,74.058,74.124,493,17.0,USOIL,15m
