time,open,high,low,close,tick_volume,spread,symbol,timeframe,atr,atr_pct,bb_width,volatility_regime,rsi,vwap_dist,hour,dow,session,symbol_encoded,timeframe_encoded,swing_high,swing_low,is_swing_high,is_swing_low,fvg_bullish,fvg_bearish,near_fvg_bull,near_fvg_bear,ob_zone_strength,dist_to_demand,dist_to_supply,in_demand_zone,in_supply_zone,is_liquidity_sweep_bull,is_liquidity_sweep_bear,near_liquidity_sweep_bull,near_liquidity_sweep_bear,is_news_window,label
2025-12-15 07:15:00+00:00,25257.5,25266.25,25241.75,25246.75,677,0.0,USTECH,15m,25.125,0.0009951775971164605,,0,47.42268041237113,-0.5861343632762631,7,0,1,0,0,25282.25,25237.75,0,0,,43.25,0,1,0.0,0.3582089552238806,1.4129353233830846,1,0,0,0,0,0,0,1
2025-12-15 07:30:00+00:00,25247.0,25258.25,25239.0,25245.0,897,0.0,USTECH,15m,23.303571428571427,0.0009230965113318054,,0,46.74796747967479,-0.6721833486549764,7,0,1,0,0,25291.25,25230.25,0,0,,28.5,0,1,0.0,0.6329501915708813,1.9846743295019158,0,0,0,0,0,0,0,1
2025-12-15 07:45:00+00:00,25246.0,25257.0,25237.75,25253.0,702,0.0,USTECH,15m,23.303571428571427,0.0009228040798547273,,0,42.9193899782135,-0.30769863796230384,7,0,1,0,0,25357.5,25230.25,0,0,,28.0,0,1,0.0,0.9762452107279694,4.484291187739464,0,0,0,0,0,0,0,1
2025-12-15 08:00:00+00:00,25253.5,25291.25,25230.25,25286.25,3393,0.0,USTECH,1h,25.660714285714285,0.0010148090082837229,,0,52.96229802513465,0.9551311854012666,8,0,2,0,1,25357.5,25230.25,0,1,,26.75,0,1,0.0,2.1823242867084205,2.776617954070981,0,0,0,0,0,0,0,1
2025-12-15 08:00:00+00:00,25253.5,25357.5,25230.25,25354.75,14642,0.0,USTECH,4h,33.07142857142857,0.0013043484385146203,,0,71.66246851385391,2.134920940607549,8,0,2,0,2,25357.5,25230.25,0,0,,61.0,0,1,0.0,3.764578833693305,0.08315334773218143,0,1,0,0,0,0,0,-1
2025-12-15 08:00:00+00:00,25253.5,25262.5,25230.25,25235.5,882,0.0,USTECH,15m,40.857142857142854,0.0016190344101421749,,0,43.432715551974205,-1.165187495987281,8,0,2,0,0,25357.5,25230.25,0,0,,126.5,0,1,0.0,0.12849650349650352,2.9860139860139863,1,0,0,0,0,0,0,1
2025-12-15 08:15:00+00:00,25236.25,25255.25,25231.0,25251.5,602,0.0,USTECH,15m,41.67857142857143,0.0016505384404321103,0.0038857713237823058,0,45.91679506933744,-0.7433057268624964,8,0,2,0,0,25357.5,25230.25,0,0,,15.25,0,1,0.0,0.5098543273350471,2.543273350471294,0,0,0,0,0,0,0,1
2025-12-15 08:30:00+00:00,25248.75,25291.25,25247.25,25286.5,1025,0.0,USTECH,15m,42.660714285714285,0.0016870944688159408,0.003899108144290372,0,51.75808720112517,0.09912125798348784,8,0,2,0,0,25333.5,25230.25,0,0,23.75,,0,1,0.0,1.3185433235663457,1.1017161992465467,0,0,0,0,0,0,0,0
2025-12-15 08:45:00+00:00,25286.5,25291.25,25279.0,25286.25,884,0.0,USTECH,15m,41.517857142857146,0.0016419143662210547,0.003947015401452664,0,54.4781643227239,0.09400264712303416,8,0,2,0,0,25333.5,25231.0,0,0,,16.5,0,0,0.0,1.3307526881720428,1.1380645161290321,0,0,0,0,0,0,0,0
2025-12-15 09:00:00+00:00,25284.75,25333.5,25274.75,25325.0,3769,0.0,USTECH,1h,44.55357142857143,0.0017592723170215768,0.004393212413685952,0,58.27679782903663,0.898653132194536,9,0,2,0,1,25333.5,25247.25,0,0,,16.5,0,1,0.0,1.7450901803607213,0.1907815631262525,0,1,0,0,0,0,0,-1
2025-12-15 09:00:00+00:00,25284.75,25313.0,25274.75,25310.25,1179,0.0,USTECH,15m,46.55357142857143,0.0018393169339920162,0.004593907346096847,0,55.33465871438038,0.5346633182557412,9,0,2,0,0,25333.5,25274.75,0,0,,35.0,0,1,0.0,0.7625623321825853,0.49942462600690446,0,1,0,0,0,0,0,-1
2025-12-15 09:15:00+00:00,25310.5,25321.25,25298.5,25314.5,944,0.0,USTECH,15m,47.339285714285715,0.00187004624678685,0.004809179000217658,0,55.36423841059602,0.603634521920927,9,0,2,0,0,25333.5,25274.75,0,0,0.75,,0,1,0.0,0.8396831384383251,0.40135797812146357,0,1,0,0,0,0,0,-1
2025-12-15 09:30:00+00:00,25315.5,25327.0,25313.75,25320.5,817,0.0,USTECH,15m,45.107142857142854,0.0017814475566099743,0.005057708879898741,0,59.3103448275862,0.7524400935287902,9,0,2,0,0,25346.0,25274.75,0,0,,2.75,0,0,0.0,1.0142517814726841,0.5653206650831354,0,0,0,0,0,0,0,-1
