============================================================
Backtest: GBPUSD (model only)
Period:  2025-12-29 to 2026-02-27
============================================================

Total trades:   53
Wins (TP):      11
Losses (SL):    41
Range (no hit): 1

Win rate:       21.2%
Total PnL:      -0.0123
Avg PnL/trade:  -0.0002

--- Trade log (last 20) ---
  2026-02-06 04:15:00 sell entry=1.3551 outcome=sl     pnl=-0.0006
  2026-02-06 12:45:00 sell entry=1.3588 outcome=sl     pnl=-0.0008
  2026-02-08 22:15:00 sell entry=1.3599 outcome=sl     pnl=-0.0006
  2026-02-09 22:15:00 sell entry=1.3688 outcome=sl     pnl=-0.0005
  2026-02-10 22:15:00 sell entry=1.3638 outcome=sl     pnl=-0.0005
  2026-02-11 22:15:00 sell entry=1.3624 outcome=sl     pnl=-0.0006
  2026-02-12 22:15:00 sell entry=1.3620 outcome=range  pnl=+0.0000
  2026-02-13 04:15:00 sell entry=1.3615 outcome=tp     pnl=+0.0011
  2026-02-15 22:15:00 sell entry=1.3641 outcome=sl     pnl=-0.0007
  2026-02-16 22:15:00 sell entry=1.3629 outcome=tp     pnl=+0.0005
  2026-02-17 22:15:00 sell entry=1.3555 outcome=sl     pnl=-0.0004
  2026-02-18 22:15:00 sell entry=1.3488 outcome=sl     pnl=-0.0006
  2026-02-19 22:15:00 sell entry=1.3462 outcome=sl     pnl=-0.0006
  2026-02-20 04:15:00 sell entry=1.3445 outcome=sl     pnl=-0.0006
  2026-02-22 22:15:00 sell entry=1.3480 outcome=sl     pnl=-0.0008
  2026-02-23 22:15:00 sell entry=1.3489 outcome=sl     pnl=-0.0005
  2026-02-24 22:15:00 sell entry=1.3481 outcome=sl     pnl=-0.0006
  2026-02-25 22:15:00 sell entry=1.3547 outcome=sl     pnl=-0.0005
  2026-02-26 22:15:00 sell entry=1.3480 outcome=sl     pnl=-0.0005
  2026-02-27 04:15:00 sell entry=1.3496 outcome=tp     pnl=+0.0012

============================================================
